PV
Date, P # [MW]
2014-01-01 01:08:00,0,0
2014-01-01 01:09:00,0,0
2014-01-01 01:10:00,0,0
2014-01-01 01:11:00,0,0
2014-01-01 01:12:00,0,0
2014-01-01 01:13:00,0,0
2014-01-01 01:14:00,0,0
2014-01-01 01:15:00,0,0
2014-01-01 01:16:00,0,0
2014-01-01 01:17:00,0,0
2014-01-01 01:18:00,0,0
2014-01-01 01:19:00,0,0
2014-01-01 01:20:00,0,0
2014-01-01 01:21:00,0,0
2014-01-01 01:22:00,0,0
2014-01-01 01:23:00,0,0
2014-01-01 01:24:00,0,0
2014-01-01 01:25:00,0,0
2014-01-01 01:26:00,0,0
2014-01-01 01:27:00,0,0
2014-01-01 01:28:00,0,0
2014-01-01 01:29:00,0,0
2014-01-01 01:30:00,0,0
2014-01-01 01:31:00,0,0
2014-01-01 01:32:00,0,0
2014-01-01 01:33:00,0,0
2014-01-01 01:34:00,0,0
2014-01-01 01:35:00,0,0
2014-01-01 01:36:00,0,0
2014-01-01 01:37:00,0,0
2014-01-01 01:38:00,0,0
2014-01-01 01:39:00,0,0
2014-01-01 01:40:00,0,0
2014-01-01 01:41:00,0,0
2014-01-01 01:42:00,0,0
2014-01-01 01:43:00,0,0
2014-01-01 01:44:00,0,0
2014-01-01 01:45:00,0,0
2014-01-01 01:46:00,0,0
2014-01-01 01:47:00,0,0
2014-01-01 01:48:00,0,0
2014-01-01 01:49:00,0,0
2014-01-01 01:50:00,0,0
2014-01-01 01:51:00,0,0
2014-01-01 01:52:00,0,0
2014-01-01 01:53:00,0,0
2014-01-01 01:54:00,0,0
2014-01-01 01:55:00,0,0
2014-01-01 01:56:00,0,0
2014-01-01 01:57:00,0,0
2014-01-01 01:58:00,0,0
2014-01-01 01:59:00,0,0
2014-01-01 02:00:00,0,0
2014-01-01 02:01:00,0,0
2014-01-01 02:02:00,0,0
2014-01-01 02:03:00,0,0
2014-01-01 02:04:00,0,0
2014-01-01 02:05:00,0,0
2014-01-01 02:06:00,0,0
2014-01-01 02:07:00,0,0
2014-01-01 02:08:00,0,0
2014-01-01 02:09:00,0,0
2014-01-01 02:10:00,0,0
2014-01-01 02:11:00,0,0
2014-01-01 02:12:00,0,0
2014-01-01 02:13:00,0,0
2014-01-01 02:14:00,0,0
2014-01-01 02:15:00,0,0
2014-01-01 02:16:00,0,0
2014-01-01 02:17:00,0,0
2014-01-01 02:18:00,0,0
2014-01-01 02:19:00,0,0
2014-01-01 02:20:00,0,0
2014-01-01 02:21:00,0,0
2014-01-01 02:22:00,0,0
2014-01-01 02:23:00,0,0
2014-01-01 02:24:00,0,0
2014-01-01 02:25:00,0,0
2014-01-01 02:26:00,0,0
2014-01-01 02:27:00,0,0
2014-01-01 02:28:00,0,0
2014-01-01 02:29:00,0,0
2014-01-01 02:30:00,0,0
2014-01-01 02:31:00,0,0
2014-01-01 02:32:00,0,0
2014-01-01 02:33:00,0,0
2014-01-01 02:34:00,0,0
2014-01-01 02:35:00,0,0
2014-01-01 02:36:00,0,0
2014-01-01 02:37:00,0,0
2014-01-01 02:38:00,0,0
2014-01-01 02:39:00,0,0
2014-01-01 02:40:00,0,0
2014-01-01 02:41:00,0,0
2014-01-01 02:42:00,0,0
2014-01-01 02:43:00,0,0
2014-01-01 02:44:00,0,0
2014-01-01 02:45:00,0,0
2014-01-01 02:46:00,0,0
2014-01-01 02:47:00,0,0
2014-01-01 02:48:00,0,0
2014-01-01 02:49:00,0,0
2014-01-01 02:50:00,0,0
2014-01-01 02:51:00,0,0
2014-01-01 02:52:00,0,0
2014-01-01 02:53:00,0,0
2014-01-01 02:54:00,0,0
2014-01-01 02:55:00,0,0
2014-01-01 02:56:00,0,0
2014-01-01 02:57:00,0,0
2014-01-01 02:58:00,0,0
2014-01-01 02:59:00,0,0
2014-01-01 03:00:00,0,0
2014-01-01 03:01:00,0,0
2014-01-01 03:02:00,0,0
2014-01-01 03:03:00,0,0
2014-01-01 03:04:00,0,0
2014-01-01 03:05:00,0,0
2014-01-01 03:06:00,0,0
2014-01-01 03:07:00,0,0
2014-01-01 03:08:00,0,0
2014-01-01 03:09:00,0,0
2014-01-01 03:10:00,0,0
2014-01-01 03:11:00,0,0
2014-01-01 03:12:00,0,0
2014-01-01 03:13:00,0,0
2014-01-01 03:14:00,0,0
2014-01-01 03:15:00,0,0
2014-01-01 03:16:00,0,0
2014-01-01 03:17:00,0,0
2014-01-01 03:18:00,0,0
2014-01-01 03:19:00,0,0
2014-01-01 03:20:00,0,0
2014-01-01 03:21:00,0,0
2014-01-01 03:22:00,0,0
2014-01-01 03:23:00,0,0
2014-01-01 03:24:00,0,0
2014-01-01 03:25:00,0,0
2014-01-01 03:26:00,0,0
2014-01-01 03:27:00,0,0
2014-01-01 03:28:00,0,0
2014-01-01 03:29:00,0,0
2014-01-01 03:30:00,0,0
2014-01-01 03:31:00,0,0
2014-01-01 03:32:00,0,0
2014-01-01 03:33:00,0,0
2014-01-01 03:34:00,0,0
2014-01-01 03:35:00,0,0
2014-01-01 03:36:00,0,0
2014-01-01 03:37:00,0,0
2014-01-01 03:38:00,0,0
2014-01-01 03:39:00,0,0
2014-01-01 03:40:00,0,0
2014-01-01 03:41:00,0,0
2014-01-01 03:42:00,0,0
2014-01-01 03:43:00,0,0
2014-01-01 03:44:00,0,0
2014-01-01 03:45:00,0,0
2014-01-01 03:46:00,0,0
2014-01-01 03:47:00,0,0
2014-01-01 03:48:00,0,0
2014-01-01 03:49:00,0,0
2014-01-01 03:50:00,0,0
2014-01-01 03:51:00,0,0
2014-01-01 03:52:00,0,0
2014-01-01 03:53:00,0,0
2014-01-01 03:54:00,0,0
2014-01-01 03:55:00,0,0
2014-01-01 03:56:00,0,0
2014-01-01 03:57:00,0,0
2014-01-01 03:58:00,0,0
2014-01-01 03:59:00,0,0
2014-01-01 04:00:00,0,0
2014-01-01 04:01:00,0,0
2014-01-01 04:02:00,0,0
2014-01-01 04:03:00,0,0
2014-01-01 04:04:00,0,0
2014-01-01 04:05:00,0,0
2014-01-01 04:06:00,0,0
2014-01-01 04:07:00,0,0
2014-01-01 04:08:00,0,0
2014-01-01 04:09:00,0,0
2014-01-01 04:10:00,0,0
2014-01-01 04:11:00,0,0
2014-01-01 04:12:00,0,0
2014-01-01 04:13:00,0,0
2014-01-01 04:14:00,0,0
2014-01-01 04:15:00,0,0
2014-01-01 04:16:00,0,0
2014-01-01 04:17:00,1e-05,1e-05
2014-01-01 04:18:00,1e-05,1e-05
2014-01-01 04:19:00,1e-05,1e-05
2014-01-01 04:20:00,1e-05,1e-05
2014-01-01 04:21:00,2e-05,2e-05
2014-01-01 04:22:00,2e-05,2e-05
2014-01-01 04:23:00,2e-05,2e-05
2014-01-01 04:24:00,2e-05,2e-05
2014-01-01 04:25:00,2e-05,2e-05
2014-01-01 04:26:00,3e-05,3e-05
2014-01-01 04:27:00,3e-05,3e-05
2014-01-01 04:28:00,4e-05,4e-05
2014-01-01 04:29:00,4e-05,4e-05
2014-01-01 04:30:00,5e-05,5e-05
2014-01-01 04:31:00,5e-05,5e-05
2014-01-01 04:32:00,5e-05,5e-05
2014-01-01 04:33:00,5e-05,5e-05
2014-01-01 04:34:00,5e-05,5e-05
2014-01-01 04:35:00,5e-05,5e-05
2014-01-01 04:36:00,5e-05,5e-05
2014-01-01 04:37:00,5e-05,5e-05
2014-01-01 04:38:00,6e-05,6e-05
2014-01-01 04:39:00,6e-05,6e-05
2014-01-01 04:40:00,6e-05,6e-05
2014-01-01 04:41:00,6e-05,6e-05
2014-01-01 04:42:00,6e-05,6e-05
2014-01-01 04:43:00,6e-05,6e-05
2014-01-01 04:44:00,6e-05,6e-05
2014-01-01 04:45:00,6e-05,6e-05
2014-01-01 04:46:00,7e-05,7e-05
2014-01-01 04:47:00,7e-05,7e-05
2014-01-01 04:48:00,7e-05,7e-05
2014-01-01 04:49:00,7e-05,7e-05
2014-01-01 04:50:00,7e-05,7e-05
2014-01-01 04:51:00,7e-05,7e-05
2014-01-01 04:52:00,7e-05,7e-05
2014-01-01 04:53:00,8e-05,8e-05
2014-01-01 04:54:00,8e-05,8e-05
2014-01-01 04:55:00,0.0001,0.0001
2014-01-01 04:56:00,0.00012,0.00012
2014-01-01 04:57:00,0.00014,0.00014
2014-01-01 04:58:00,0.00016,0.00016
2014-01-01 04:59:00,0.00017,0.00017
2014-01-01 05:00:00,0.00017,0.00017
2014-01-01 05:01:00,0.00016,0.00016
2014-01-01 05:02:00,0.00015,0.00015
2014-01-01 05:03:00,0.00015,0.00015
2014-01-01 05:04:00,0.00015,0.00015
2014-01-01 05:05:00,0.00016,0.00016
2014-01-01 05:06:00,0.00017,0.00017
2014-01-01 05:07:00,0.00018,0.00018
2014-01-01 05:08:00,0.00019,0.00019
2014-01-01 05:09:00,0.0002,0.0002
2014-01-01 05:10:00,0.00022,0.00022
2014-01-01 05:11:00,0.00024,0.00024
2014-01-01 05:12:00,0.00024,0.00024
2014-01-01 05:13:00,0.00025,0.00025
2014-01-01 05:14:00,0.00026,0.00026
2014-01-01 05:15:00,0.00026,0.00026
2014-01-01 05:16:00,0.00027,0.00027
2014-01-01 05:17:00,0.00025,0.00025
2014-01-01 05:18:00,0.00018,0.00018
2014-01-01 05:19:00,0.0001,0.0001
2014-01-01 05:20:00,7e-05,7e-05
2014-01-01 05:21:00,7e-05,7e-05
2014-01-01 05:22:00,8e-05,8e-05
2014-01-01 05:23:00,0.0001,0.0001
2014-01-01 05:24:00,0.00012,0.00012
2014-01-01 05:25:00,0.00013,0.00013
2014-01-01 05:26:00,0.00013,0.00013
2014-01-01 05:27:00,0.00012,0.00012
2014-01-01 05:28:00,0.00012,0.00012
2014-01-01 05:29:00,0.00014,0.00014
2014-01-01 05:30:00,0.00018,0.00018
2014-01-01 05:31:00,0.00022,0.00022
2014-01-01 05:32:00,0.00025,0.00025
2014-01-01 05:33:00,0.00026,0.00026
2014-01-01 05:34:00,0.00027,0.00027
2014-01-01 05:35:00,0.00028,0.00028
2014-01-01 05:36:00,0.0003,0.0003
2014-01-01 05:37:00,0.00031,0.00031
2014-01-01 05:38:00,0.00031,0.00031
2014-01-01 05:39:00,0.00033,0.00033
2014-01-01 05:40:00,0.00033,0.00033
2014-01-01 05:41:00,0.00032,0.00032
2014-01-01 05:42:00,0.00032,0.00032
2014-01-01 05:43:00,0.00034,0.00034
2014-01-01 05:44:00,0.00038,0.00038
2014-01-01 05:45:00,0.00041,0.00041
2014-01-01 05:46:00,0.00044,0.00044
2014-01-01 05:47:00,0.00047,0.00047
2014-01-01 05:48:00,0.00049,0.00049
2014-01-01 05:49:00,0.00049,0.00049
2014-01-01 05:50:00,0.00049,0.00049
2014-01-01 05:51:00,0.00048,0.00048
2014-01-01 05:52:00,0.00045,0.00045
2014-01-01 05:53:00,0.00043,0.00043
2014-01-01 05:54:00,0.00044,0.00044
2014-01-01 05:55:00,0.00048,0.00048
2014-01-01 05:56:00,0.00054,0.00054
2014-01-01 05:57:00,0.00057,0.00057
2014-01-01 05:58:00,0.00054,0.00054
2014-01-01 05:59:00,0.0005,0.0005
2014-01-01 06:00:00,0.0005,0.0005
2014-01-01 06:01:00,0.00052,0.00052
2014-01-01 06:02:00,0.00057,0.00057
2014-01-01 06:03:00,0.00062,0.00062
2014-01-01 06:04:00,0.00065,0.00065
2014-01-01 06:05:00,0.00065,0.00065
2014-01-01 06:06:00,0.00065,0.00065
2014-01-01 06:07:00,0.00061,0.00061
2014-01-01 06:08:00,0.00055,0.00055
2014-01-01 06:09:00,0.00054,0.00054
2014-01-01 06:10:00,0.00054,0.00054
2014-01-01 06:11:00,0.00057,0.00057
2014-01-01 06:12:00,0.00064,0.00064
2014-01-01 06:13:00,0.0007,0.0007
2014-01-01 06:14:00,0.00072,0.00072
2014-01-01 06:15:00,0.00072,0.00072
2014-01-01 06:16:00,0.00071,0.00071
2014-01-01 06:17:00,0.00072,0.00072
2014-01-01 06:18:00,0.00073,0.00073
2014-01-01 06:19:00,0.00075,0.00075
2014-01-01 06:20:00,0.00075,0.00075
2014-01-01 06:21:00,0.00077,0.00077
2014-01-01 06:22:00,0.00081,0.00081
2014-01-01 06:23:00,0.00088,0.00088
2014-01-01 06:24:00,0.00095,0.00095
2014-01-01 06:25:00,0.00101,0.00101
2014-01-01 06:26:00,0.00107,0.00107
2014-01-01 06:27:00,0.00112,0.00112
2014-01-01 06:28:00,0.00113,0.00113
2014-01-01 06:29:00,0.00112,0.00112
2014-01-01 06:30:00,0.00109,0.00109
2014-01-01 06:31:00,0.00105,0.00105
2014-01-01 06:32:00,0.00099,0.00099
2014-01-01 06:33:00,0.00092,0.00092
2014-01-01 06:34:00,0.00085,0.00085
2014-01-01 06:35:00,0.00087,0.00087
2014-01-01 06:36:00,0.00103,0.00103
2014-01-01 06:37:00,0.00125,0.00125
2014-01-01 06:38:00,0.00152,0.00152
2014-01-01 06:39:00,0.00174,0.00174
2014-01-01 06:40:00,0.0015,0.0015
2014-01-01 06:41:00,0.00133,0.00133
2014-01-01 06:42:00,0.00116,0.00116
2014-01-01 06:43:00,0.00107,0.00107
2014-01-01 06:44:00,0.00103,0.00103
2014-01-01 06:45:00,0.00102,0.00102
2014-01-01 06:46:00,0.001,0.001
2014-01-01 06:47:00,0.00094,0.00094
2014-01-01 06:48:00,0.00086,0.00086
2014-01-01 06:49:00,0.0008,0.0008
2014-01-01 06:50:00,0.00074,0.00074
2014-01-01 06:51:00,0.00067,0.00067
2014-01-01 06:52:00,0.00058,0.00058
2014-01-01 06:53:00,0.00046,0.00046
2014-01-01 06:54:00,0.0003,0.0003
2014-01-01 06:55:00,0.00024,0.00024
2014-01-01 06:56:00,0.00023,0.00023
2014-01-01 06:57:00,0.00022,0.00022
2014-01-01 06:58:00,0.00021,0.00021
2014-01-01 06:59:00,0.00021,0.00021
2014-01-01 07:00:00,0.00022,0.00022
2014-01-01 07:01:00,0.00025,0.00025
2014-01-01 07:02:00,0.00028,0.00028
2014-01-01 07:03:00,0.00029,0.00029
2014-01-01 07:04:00,0.0003,0.0003
2014-01-01 07:05:00,0.00029,0.00029
2014-01-01 07:06:00,0.00026,0.00026
2014-01-01 07:07:00,0.00029,0.00029
2014-01-01 07:08:00,0.00034,0.00034
2014-01-01 07:09:00,0.00035,0.00035
2014-01-01 07:10:00,0.00035,0.00035
2014-01-01 07:11:00,0.00036,0.00036
2014-01-01 07:12:00,0.00037,0.00037
2014-01-01 07:13:00,0.0004,0.0004
2014-01-01 07:14:00,0.00045,0.00045
2014-01-01 07:15:00,0.00052,0.00052
2014-01-01 07:16:00,0.00061,0.00061
2014-01-01 07:17:00,0.00071,0.00071
2014-01-01 07:18:00,0.00081,0.00081
2014-01-01 07:19:00,0.0009,0.0009
2014-01-01 07:20:00,0.001,0.001
2014-01-01 07:21:00,0.00111,0.00111
2014-01-01 07:22:00,0.00124,0.00124
2014-01-01 07:23:00,0.00138,0.00138
2014-01-01 07:24:00,0.00152,0.00152
2014-01-01 07:25:00,0.00164,0.00164
2014-01-01 07:26:00,0.00171,0.00171
2014-01-01 07:27:00,0.00177,0.00177
2014-01-01 07:28:00,0.00185,0.00185
2014-01-01 07:29:00,0.00193,0.00193
2014-01-01 07:30:00,0.00213,0.00213
2014-01-01 07:31:00,0.00238,0.00238
2014-01-01 07:32:00,0.00236,0.00236
2014-01-01 07:33:00,0.00229,0.00229
2014-01-01 07:34:00,0.00228,0.00228
2014-01-01 07:35:00,0.00223,0.00223
2014-01-01 07:36:00,0.00218,0.00218
2014-01-01 07:37:00,0.00208,0.00208
2014-01-01 07:38:00,0.00199,0.00199
2014-01-01 07:39:00,0.00193,0.00193
2014-01-01 07:40:00,0.00185,0.00185
2014-01-01 07:41:00,0.00172,0.00172
2014-01-01 07:42:00,0.0016,0.0016
2014-01-01 07:43:00,0.00152,0.00152
2014-01-01 07:44:00,0.00148,0.00148
2014-01-01 07:45:00,0.00154,0.00154
2014-01-01 07:46:00,0.00182,0.00182
2014-01-01 07:47:00,0.00197,0.00197
2014-01-01 07:48:00,0.00202,0.00202
2014-01-01 07:49:00,0.00277,0.00277
2014-01-01 07:50:00,0.00274,0.00274
2014-01-01 07:51:00,0.00256,0.00256
2014-01-01 07:52:00,0.00246,0.00246
2014-01-01 07:53:00,0.00268,0.00268
2014-01-01 07:54:00,0.00297,0.00297
2014-01-01 07:55:00,0.00251,0.00251
2014-01-01 07:56:00,0.00253,0.00253
2014-01-01 07:57:00,0.0028,0.0028
2014-01-01 07:58:00,0.00339,0.00339
2014-01-01 07:59:00,0.00392,0.00392
2014-01-01 08:00:00,0.00323,0.00323
2014-01-01 08:01:00,0.00245,0.00245
2014-01-01 08:02:00,0.00212,0.00212
2014-01-01 08:03:00,0.00201,0.00201
2014-01-01 08:04:00,0.00206,0.00206
2014-01-01 08:05:00,0.00251,0.00251
2014-01-01 08:06:00,0.00239,0.00239
2014-01-01 08:07:00,0.00204,0.00204
2014-01-01 08:08:00,0.00206,0.00206
2014-01-01 08:09:00,0.00207,0.00207
2014-01-01 08:10:00,0.00196,0.00196
2014-01-01 08:11:00,0.00193,0.00193
2014-01-01 08:12:00,0.00144,0.00144
2014-01-01 08:13:00,0.00131,0.00131
2014-01-01 08:14:00,0.0014,0.0014
2014-01-01 08:15:00,0.00133,0.00133
2014-01-01 08:16:00,0.00125,0.00125
2014-01-01 08:17:00,0.00123,0.00123
2014-01-01 08:18:00,0.00129,0.00129
2014-01-01 08:19:00,0.0012,0.0012
2014-01-01 08:20:00,0.00131,0.00131
2014-01-01 08:21:00,0.00144,0.00144
2014-01-01 08:22:00,0.00152,0.00152
2014-01-01 08:23:00,0.0016,0.0016
2014-01-01 08:24:00,0.00166,0.00166
2014-01-01 08:25:00,0.00173,0.00173
2014-01-01 08:26:00,0.00173,0.00173
2014-01-01 08:27:00,0.00181,0.00181
2014-01-01 08:28:00,0.00195,0.00195
2014-01-01 08:29:00,0.00211,0.00211
2014-01-01 08:30:00,0.00237,0.00237
2014-01-01 08:31:00,0.00282,0.00282
2014-01-01 08:32:00,0.00328,0.00328
2014-01-01 08:33:00,0.00358,0.00358
2014-01-01 08:34:00,0.00301,0.00301
2014-01-01 08:35:00,0.00325,0.00325
2014-01-01 08:36:00,0.00327,0.00327
2014-01-01 08:37:00,0.00399,0.00399
2014-01-01 08:38:00,0.00335,0.00335
2014-01-01 08:39:00,0.00308,0.00308
2014-01-01 08:40:00,0.00259,0.00259
2014-01-01 08:41:00,0.00214,0.00214
2014-01-01 08:42:00,0.00203,0.00203
2014-01-01 08:43:00,0.00235,0.00235
2014-01-01 08:44:00,0.00353,0.00353
2014-01-01 08:45:00,0.00288,0.00288
2014-01-01 08:46:00,0.00298,0.00298
2014-01-01 08:47:00,0.00326,0.00326
2014-01-01 08:48:00,0.00326,0.00326
2014-01-01 08:49:00,0.00261,0.00261
2014-01-01 08:50:00,0.00235,0.00235
2014-01-01 08:51:00,0.00231,0.00231
2014-01-01 08:52:00,0.00236,0.00236
2014-01-01 08:53:00,0.00239,0.00239
2014-01-01 08:54:00,0.00228,0.00228
2014-01-01 08:55:00,0.00211,0.00211
2014-01-01 08:56:00,0.0019,0.0019
2014-01-01 08:57:00,0.00174,0.00174
2014-01-01 08:58:00,0.0016,0.0016
2014-01-01 08:59:00,0.0015,0.0015
2014-01-01 09:00:00,0.00154,0.00154
2014-01-01 09:01:00,0.00159,0.00159
2014-01-01 09:02:00,0.00159,0.00159
2014-01-01 09:03:00,0.00151,0.00151
2014-01-01 09:04:00,0.00147,0.00147
2014-01-01 09:05:00,0.0013,0.0013
2014-01-01 09:06:00,0.00116,0.00116
2014-01-01 09:07:00,0.00112,0.00112
2014-01-01 09:08:00,0.00108,0.00108
2014-01-01 09:09:00,0.00094,0.00094
2014-01-01 09:10:00,0.00083,0.00083
2014-01-01 09:11:00,0.00088,0.00088
2014-01-01 09:12:00,0.00092,0.00092
2014-01-01 09:13:00,0.00082,0.00082
2014-01-01 09:14:00,0.00079,0.00079
2014-01-01 09:15:00,0.00089,0.00089
2014-01-01 09:16:00,0.00106,0.00106
2014-01-01 09:17:00,0.00102,0.00102
2014-01-01 09:18:00,0.00083,0.00083
2014-01-01 09:19:00,0.00072,0.00072
2014-01-01 09:20:00,0.00051,0.00051
2014-01-01 09:21:00,0.00041,0.00041
2014-01-01 09:22:00,0.00048,0.00048
2014-01-01 09:23:00,0.00063,0.00063
2014-01-01 09:24:00,0.00075,0.00075
2014-01-01 09:25:00,0.00102,0.00102
2014-01-01 09:26:00,0.00135,0.00135
2014-01-01 09:27:00,0.00154,0.00154
2014-01-01 09:28:00,0.00174,0.00174
2014-01-01 09:29:00,0.00193,0.00193
2014-01-01 09:30:00,0.00206,0.00206
2014-01-01 09:31:00,0.00216,0.00216
2014-01-01 09:32:00,0.0022,0.0022
2014-01-01 09:33:00,0.00209,0.00209
2014-01-01 09:34:00,0.00205,0.00205
2014-01-01 09:35:00,0.00214,0.00214
2014-01-01 09:36:00,0.00206,0.00206
2014-01-01 09:37:00,0.00194,0.00194
2014-01-01 09:38:00,0.0019,0.0019
2014-01-01 09:39:00,0.00178,0.00178
2014-01-01 09:40:00,0.00172,0.00172
2014-01-01 09:41:00,0.00175,0.00175
2014-01-01 09:42:00,0.00176,0.00176
2014-01-01 09:43:00,0.00179,0.00179
2014-01-01 09:44:00,0.00181,0.00181
2014-01-01 09:45:00,0.00182,0.00182
2014-01-01 09:46:00,0.00182,0.00182
2014-01-01 09:47:00,0.00185,0.00185
2014-01-01 09:48:00,0.0019,0.0019
2014-01-01 09:49:00,0.00199,0.00199
2014-01-01 09:50:00,0.00211,0.00211
2014-01-01 09:51:00,0.00226,0.00226
2014-01-01 09:52:00,0.00241,0.00241
2014-01-01 09:53:00,0.00256,0.00256
2014-01-01 09:54:00,0.00265,0.00265
2014-01-01 09:55:00,0.00269,0.00269
2014-01-01 09:56:00,0.00268,0.00268
2014-01-01 09:57:00,0.00271,0.00271
2014-01-01 09:58:00,0.0029,0.0029
2014-01-01 09:59:00,0.00328,0.00328
2014-01-01 10:00:00,0.00382,0.00382
2014-01-01 10:01:00,0.00571,0.00571
2014-01-01 10:02:00,0.00414,0.00414
2014-01-01 10:03:00,0.00354,0.00354
2014-01-01 10:04:00,0.00332,0.00332
2014-01-01 10:05:00,0.00327,0.00327
2014-01-01 10:06:00,0.00328,0.00328
2014-01-01 10:07:00,0.00322,0.00322
2014-01-01 10:08:00,0.00306,0.00306
2014-01-01 10:09:00,0.00309,0.00309
2014-01-01 10:10:00,0.00333,0.00333
2014-01-01 10:11:00,0.00357,0.00357
2014-01-01 10:12:00,0.00376,0.00376
2014-01-01 10:13:00,0.00411,0.00411
2014-01-01 10:14:00,0.00405,0.00405
2014-01-01 10:15:00,0.00396,0.00396
2014-01-01 10:16:00,0.00286,0.00286
2014-01-01 10:17:00,0.0025,0.0025
2014-01-01 10:18:00,0.00217,0.00217
2014-01-01 10:19:00,0.00205,0.00205
2014-01-01 10:20:00,0.00198,0.00198
2014-01-01 10:21:00,0.0017,0.0017
2014-01-01 10:22:00,0.00137,0.00137
2014-01-01 10:23:00,0.0011,0.0011
2014-01-01 10:24:00,0.00087,0.00087
2014-01-01 10:25:00,0.00073,0.00073
2014-01-01 10:26:00,0.00084,0.00084
2014-01-01 10:27:00,0.00111,0.00111
2014-01-01 10:28:00,0.0014,0.0014
2014-01-01 10:29:00,0.00156,0.00156
2014-01-01 10:30:00,0.00175,0.00175
2014-01-01 10:31:00,0.00192,0.00192
2014-01-01 10:32:00,0.00182,0.00182
2014-01-01 10:33:00,0.00179,0.00179
2014-01-01 10:34:00,0.00214,0.00214
2014-01-01 10:35:00,0.00254,0.00254
2014-01-01 10:36:00,0.00274,0.00274
2014-01-01 10:37:00,0.00292,0.00292
2014-01-01 10:38:00,0.00312,0.00312
2014-01-01 10:39:00,0.00338,0.00338
2014-01-01 10:40:00,0.00363,0.00363
2014-01-01 10:41:00,0.00368,0.00368
2014-01-01 10:42:00,0.00352,0.00352
2014-01-01 10:43:00,0.00317,0.00317
2014-01-01 10:44:00,0.00288,0.00288
2014-01-01 10:45:00,0.00273,0.00273
2014-01-01 10:46:00,0.00245,0.00245
2014-01-01 10:47:00,0.00197,0.00197
2014-01-01 10:48:00,0.00154,0.00154
2014-01-01 10:49:00,0.00128,0.00128
2014-01-01 10:50:00,0.00112,0.00112
2014-01-01 10:51:00,0.00104,0.00104
2014-01-01 10:52:00,0.00099,0.00099
2014-01-01 10:53:00,0.00103,0.00103
2014-01-01 10:54:00,0.00114,0.00114
2014-01-01 10:55:00,0.00137,0.00137
2014-01-01 10:56:00,0.00172,0.00172
2014-01-01 10:57:00,0.00216,0.00216
2014-01-01 10:58:00,0.00259,0.00259
2014-01-01 10:59:00,0.00291,0.00291
2014-01-01 11:00:00,0.0032,0.0032
2014-01-01 11:01:00,0.00347,0.00347
2014-01-01 11:02:00,0.00376,0.00376
2014-01-01 11:03:00,0.0041,0.0041
2014-01-01 11:04:00,0.00429,0.00429
2014-01-01 11:05:00,0.00405,0.00405
2014-01-01 11:06:00,0.00382,0.00382
2014-01-01 11:07:00,0.0037,0.0037
2014-01-01 11:08:00,0.00369,0.00369
2014-01-01 11:09:00,0.0037,0.0037
2014-01-01 11:10:00,0.00369,0.00369
2014-01-01 11:11:00,0.00367,0.00367
2014-01-01 11:12:00,0.00365,0.00365
2014-01-01 11:13:00,0.00362,0.00362
